prompt,image_path
Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0001_switch-frames_anyFPS_perspective-left_trimmed-ball-and-block-fall.jpg
Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0002_switch-frames_anyFPS_perspective-center_trimmed-ball-and-block-fall.jpg
Two pillows on a table and two grabber tools hanging above them from which a brown tennis ball and an orange block are suspended. The grabber tools let go of the ball and block. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0003_switch-frames_anyFPS_perspective-right_trimmed-ball-and-block-fall.jpg
A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0004_switch-frames_anyFPS_perspective-left_trimmed-ball-behind-rotating-paper.jpg
A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0005_switch-frames_anyFPS_perspective-center_trimmed-ball-behind-rotating-paper.jpg
A grabber arm is holding a tennis ball above a piece of cardstock propped up on a rotating platform sitting on a table that rotates clockwise. The grabber lowers the ball and places is on the table as the cardstock rotates. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0006_switch-frames_anyFPS_perspective-right_trimmed-ball-behind-rotating-paper.jpg
A light beige coffee table with a small yellow rubber ducky on it. A mustard yellow couch is in the background. There is a black pipe on one end of the table and a brown tennis ball rolls out of it towards the rubber ducky. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0007_switch-frames_anyFPS_perspective-left_trimmed-ball-hits-duck.jpg
A light beige coffee table with a small yellow rubber ducky on it. A mustard yellow couch is in the background. There is a black pipe on one end of the table and a brown tennis ball rolls out of it towards the rubber ducky. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0008_switch-frames_anyFPS_perspective-center_trimmed-ball-hits-duck.jpg
A light beige coffee table with a small yellow rubber ducky on it. A mustard yellow couch is in the background. There is a black pipe on one end of the table and a brown tennis ball rolls out of it towards the rubber ducky. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0009_switch-frames_anyFPS_perspective-right_trimmed-ball-hits-duck.jpg
A light-colored wooden coffee table with a few small objects on it including a tennis ball and a smaller red ball. An orange ball rolls out of a black pipe that is sitting on the table towards the right side. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0010_switch-frames_anyFPS_perspective-left_trimmed-ball-hits-nothing.jpg
A light-colored wooden coffee table with a few small objects on it including a tennis ball and a smaller red ball. An orange ball rolls out of a black pipe that is sitting on the table towards the right side. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0011_switch-frames_anyFPS_perspective-center_trimmed-ball-hits-nothing.jpg
A light-colored wooden coffee table with a few small objects on it including a tennis ball and a smaller red ball. An orange ball rolls out of a black pipe that is sitting on the table towards the right side. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0012_switch-frames_anyFPS_perspective-right_trimmed-ball-hits-nothing.jpg
An orange inflatable basketball is suspended above a black plastic crate placed on a wooden table. The ball is then released. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0013_switch-frames_anyFPS_perspective-left_trimmed-ball-in-basket.jpg
An orange inflatable basketball is suspended above a black plastic crate placed on a wooden table. The ball is then released. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0014_switch-frames_anyFPS_perspective-center_trimmed-ball-in-basket.jpg
An orange inflatable basketball is suspended above a black plastic crate placed on a wooden table. The ball is then released. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0015_switch-frames_anyFPS_perspective-right_trimmed-ball-in-basket.jpg
A blue grabber tool holds a tennis ball above a pile of green kinetic sand on a wooden table. The grabber then releases the ball. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0016_switch-frames_anyFPS_perspective-left_trimmed-ball-in-sand.jpg
A blue grabber tool holds a tennis ball above a pile of green kinetic sand on a wooden table. The grabber then releases the ball. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0017_switch-frames_anyFPS_perspective-center_trimmed-ball-in-sand.jpg
A blue grabber tool holds a tennis ball above a pile of green kinetic sand on a wooden table. The grabber then releases the ball. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0018_switch-frames_anyFPS_perspective-right_trimmed-ball-in-sand.jpg
A simple ramp made of cardboard propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame and a yellow tennis ball rolls out of the pipe towards the ramp. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0019_switch-frames_anyFPS_perspective-left_trimmed-ball-ramp.jpg
A simple ramp made of cardboard propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame and a yellow tennis ball rolls out of the pipe towards the ramp. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0020_switch-frames_anyFPS_perspective-center_trimmed-ball-ramp.jpg
A simple ramp made of cardboard propped up by a blue block on a light-colored wooden table. There's a black pipe to the left of the frame and a yellow tennis ball rolls out of the pipe towards the ramp. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0021_switch-frames_anyFPS_perspective-right_trimmed-ball-ramp.jpg
A light wood coffee table in the foreground with a black pipe on the end of the table. A grey tennis ball rolls out of the pipe towards the right and onto the table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0022_switch-frames_anyFPS_perspective-left_trimmed-ball-rolls-off.jpg
A light wood coffee table in the foreground with a black pipe on the end of the table. A grey tennis ball rolls out of the pipe towards the right and onto the table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0023_switch-frames_anyFPS_perspective-center_trimmed-ball-rolls-off.jpg
A light wood coffee table in the foreground with a black pipe on the end of the table. A grey tennis ball rolls out of the pipe towards the right and onto the table. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0024_switch-frames_anyFPS_perspective-right_trimmed-ball-rolls-off.jpg
A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. A blue tennis ball rolls on the wooden table and towards the glass. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0025_switch-frames_anyFPS_perspective-left_trimmed-ball-rolls-on-glass.jpg
A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. A blue tennis ball rolls on the wooden table and towards the glass. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0026_switch-frames_anyFPS_perspective-center_trimmed-ball-rolls-on-glass.jpg
A piece of clear glass resting on the edge of a light-colored wooden table against a plain white wall. A blue tennis ball rolls on the wooden table and towards the glass. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0027_switch-frames_anyFPS_perspective-right_trimmed-ball-rolls-on-glass.jpg
"A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center back to back. A grey tennis ball rolls out of a black pipe sitting on the table and towards the other two balls. Static shot with no camera movement.",/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0028_switch-frames_anyFPS_perspective-left_trimmed-ball-train.jpg
"A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center back to back. A grey tennis ball rolls out of a black pipe sitting on the table and towards the other two balls. Static shot with no camera movement.",/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0029_switch-frames_anyFPS_perspective-center_trimmed-ball-train.jpg
"A light-colored coffee table with two tennis balls, one orange and one brown, placed near the center back to back. A grey tennis ball rolls out of a black pipe sitting on the table and towards the other two balls. Static shot with no camera movement.",/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0030_switch-frames_anyFPS_perspective-right_trimmed-ball-train.jpg
A light-colored wooden tabletop with two pipes at the edges. A blue and yellow tennis ball roll out of the pipes and towards each other. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0031_switch-frames_anyFPS_perspective-left_trimmed-balls-collide.jpg
A light-colored wooden tabletop with two pipes at the edges. A blue and yellow tennis ball roll out of the pipes and towards each other. Static shot with no camera movement.,/opt/hpcaas/.mounts/fs-072917c00f01ae1ba/home/yjianhao/project/video_guidance/frames/0032_switch-frames_anyFPS_perspective-center_trimmed-balls-collide.jpg
